rank,fold,model,seed,prevalence,auroc,ap,repeat_seed
Genus,4,cnn_avgpool,21,0.058424425179042595,0.7182261938583123,0.23699569293514663,42
Genus,0,cnn_maxpool,42,0.058490221166148784,0.48599119103086774,0.051947040430663755,42
Genus,0,cnn_maxpool,123,0.058490221166148784,0.4856999854397204,0.05281986138905484,42
Genus,0,cnn_maxpool,7,0.058490221166148784,0.4846109978644923,0.051954385680197425,42
Genus,0,cnn_maxpool,13,0.058490221166148784,0.5060880168899242,0.05573017470759394,42
Genus,0,cnn_maxpool,21,0.058490221166148784,0.5229476072607261,0.05815975688859535,42
Genus,1,cnn_maxpool,42,0.05843681519357195,0.4845956167571761,0.05136501716750932,42
Genus,1,cnn_maxpool,123,0.05843681519357195,0.5000533359193173,0.053163026331986316,42
Genus,1,cnn_maxpool,7,0.05843681519357195,0.4918626357641583,0.052209490036892695,42
Genus,1,cnn_maxpool,13,0.05843681519357195,0.5226320064003103,0.056160831257032445,42
Genus,1,cnn_maxpool,21,0.05843681519357195,0.541658989526765,0.0593408460767961,42
Genus,2,cnn_maxpool,42,0.05823475887170155,0.47925090579710145,0.050774772400103696,42
Genus,2,cnn_maxpool,123,0.05823475887170155,0.4935939009661836,0.05281599962846892,42
Genus,2,cnn_maxpool,7,0.05823475887170155,0.4857077294685991,0.05167388301911517,42
Genus,2,cnn_maxpool,13,0.05823475887170155,0.5137512077294686,0.055468564300151096,42
Genus,2,cnn_maxpool,21,0.05823475887170155,0.53543961352657,0.05883081613154372,42
Genus,3,cnn_maxpool,42,0.05818181818181818,0.4711157697876448,0.04978289753253071,42
Genus,3,cnn_maxpool,123,0.05818181818181818,0.47433035714285715,0.05044999370395285,42
Genus,3,cnn_maxpool,7,0.05818181818181818,0.47485822876447875,0.050226940878177376,42
Genus,3,cnn_maxpool,13,0.05818181818181818,0.48697333494208495,0.05219491530091032,42
Genus,3,cnn_maxpool,21,0.05818181818181818,0.49634833494208497,0.05392778056972851,42
Genus,4,cnn_maxpool,42,0.058424425179042595,0.4816937420904465,0.05152342573820225,42
Genus,4,cnn_maxpool,123,0.058424425179042595,0.4919199876029856,0.05318350541424824,42
Genus,4,cnn_maxpool,7,0.058424425179042595,0.4898350938815569,0.05255768547718298,42
Genus,4,cnn_maxpool,13,0.058424425179042595,0.5064535499367235,0.05516737518448679,42
Genus,4,cnn_maxpool,21,0.058424425179042595,0.5175488778119269,0.057685533632492035,42
Species,0,cnn_avgpool,42,0.057973664959765914,0.4981458992067327,0.053228998665869165,101
Species,0,cnn_avgpool,123,0.057973664959765914,0.5724608924058114,0.06741676929168078,101
Species,0,cnn_avgpool,7,0.057973664959765914,0.4902971276901303,0.05263854738236191,101
Species,0,cnn_avgpool,13,0.057973664959765914,0.5445415946307937,0.06318096152202679,101
Species,0,cnn_avgpool,21,0.057973664959765914,0.5266224989542934,0.06199461238548239,101
Species,1,cnn_avgpool,42,0.05792070162616481,0.5191002856003113,0.0565946237873878,101
Species,1,cnn_avgpool,123,0.05792070162616481,0.590601926517267,0.07349354354344348,101
Species,1,cnn_avgpool,7,0.05792070162616481,0.5111850944536762,0.05510624247186485,101
Species,1,cnn_avgpool,13,0.05792070162616481,0.5719923252564162,0.06723069254643504,101
Species,1,cnn_avgpool,21,0.05792070162616481,0.5450374192695778,0.0645513985704548,101
Species,2,cnn_avgpool,42,0.05789186237028946,0.5071752802843861,0.05372676509438464,101
Species,2,cnn_avgpool,123,0.05789186237028946,0.5860669036550907,0.07013777925871459,101
Species,2,cnn_avgpool,7,0.05789186237028946,0.5007531978245678,0.05346618969024622,101
Species,2,cnn_avgpool,13,0.05789186237028946,0.5683398657065597,0.06612097384148187,101
Species,2,cnn_avgpool,21,0.05789186237028946,0.5403840427794488,0.06414669385613163,101
Species,3,cnn_avgpool,42,0.05818181818181818,0.521178511100386,0.05615942494140814,101
Species,3,cnn_avgpool,123,0.05818181818181818,0.5672994087837838,0.06835387269757437,101
Species,3,cnn_avgpool,7,0.05818181818181818,0.5067078909266409,0.054963963708068275,101
Species,3,cnn_avgpool,13,0.05818181818181818,0.5516361003861003,0.06594728807915012,101
Species,3,cnn_avgpool,21,0.05818181818181818,0.5225114623552124,0.06218655372522752,101
Species,4,cnn_avgpool,42,0.058424425179042595,0.5107786228983187,0.055014066222871486,101
Species,4,cnn_avgpool,123,0.058424425179042595,0.568440558898732,0.06812309433701796,101
Species,4,cnn_avgpool,7,0.058424425179042595,0.5015031379942664,0.054154642121285554,101
Species,4,cnn_avgpool,13,0.058424425179042595,0.5528668095766937,0.0645431212892912,101
Species,4,cnn_avgpool,21,0.058424425179042595,0.5351707172189365,0.06358620087396688,101
Species,0,cnn_maxpool,42,0.057973664959765914,0.5007462334654323,0.05367607134522419,101
Species,0,cnn_maxpool,123,0.057973664959765914,0.450604978850084,0.04909107612086612,101
Species,0,cnn_maxpool,7,0.057973664959765914,0.4511436020202503,0.04895771211242804,101
Species,0,cnn_maxpool,13,0.057973664959765914,0.458944604796349,0.049958501609757254,101
Species,0,cnn_maxpool,21,0.057973664959765914,0.4629492175419063,0.05113161817803301,101
Species,1,cnn_maxpool,42,0.05792070162616481,0.49891951553181124,0.055090442078353744,101
Species,1,cnn_maxpool,123,0.05792070162616481,0.4477540484517135,0.04944888100721022,101
Species,1,cnn_maxpool,7,0.05792070162616481,0.44022430759667464,0.04901286266516146,101
Species,1,cnn_maxpool,13,0.05792070162616481,0.46735878447332807,0.051873937333576384,101
Species,1,cnn_maxpool,21,0.05792070162616481,0.46047237850973904,0.05138416135701143,101
Species,2,cnn_maxpool,42,0.05789186237028946,0.4628159086075411,0.04953569812885879,101
Species,2,cnn_maxpool,123,0.05789186237028946,0.4141488165770365,0.04652891084085124,101
Species,2,cnn_maxpool,7,0.05789186237028946,0.4151532828973354,0.04607957872022184,101
Species,2,cnn_maxpool,13,0.05789186237028946,0.4349199404490627,0.04806374858564149,101
Species,2,cnn_maxpool,21,0.05789186237028946,0.4416467657156746,0.048829400103659826,101
Species,3,cnn_maxpool,42,0.05818181818181818,0.5117277992277992,0.05530666349281396,101
Species,3,cnn_maxpool,123,0.05818181818181818,0.45860581563706565,0.05073044685322077,101
Species,3,cnn_maxpool,7,0.05818181818181818,0.4498166023166023,0.04966278947037684,101
Species,3,cnn_maxpool,13,0.05818181818181818,0.47262487934362934,0.0517130356685888,101
Species,3,cnn_maxpool,21,0.05818181818181818,0.47663760859073356,0.05274098379783422,101
Species,4,cnn_maxpool,42,0.058424425179042595,0.493160980397221,0.053769795766143366,101
Species,4,cnn_maxpool,123,0.058424425179042595,0.45109991218781476,0.04995207077490866,101
Species,4,cnn_maxpool,7,0.058424425179042595,0.4463541801182882,0.049409335978103264,101
Species,4,cnn_maxpool,13,0.058424425179042595,0.4634778790774555,0.05116622779462052,101
Species,4,cnn_maxpool,21,0.058424425179042595,0.4619463312585552,0.0523420166636234,101
Genus,0,cnn_avgpool,42,0.058490221166148784,0.5678961002717918,0.06154503703585873,101
Genus,0,cnn_avgpool,123,0.058490221166148784,0.7558125849349642,0.13187715058645288,101
Genus,0,cnn_avgpool,7,0.058490221166148784,0.5954511259949524,0.0778346851000572,101
Genus,0,cnn_avgpool,13,0.058490221166148784,0.7331956173558533,0.13126353736835988,101
Genus,0,cnn_avgpool,21,0.058490221166148784,0.7266228644923316,0.1354550798549916,101
Genus,1,cnn_avgpool,42,0.05843681519357195,0.5389294632467029,0.05755991054002813,101
Genus,1,cnn_avgpool,123,0.05843681519357195,0.7297481089992243,0.12095821202364548,101
Genus,1,cnn_avgpool,7,0.05843681519357195,0.5698900552754074,0.07197127756136015,101
Genus,1,cnn_avgpool,13,0.05843681519357195,0.7015146188906128,0.12547677364651375,101
Genus,1,cnn_avgpool,21,0.05843681519357195,0.6922044705197827,0.13061268051785613,101
Genus,2,cnn_avgpool,42,0.05823475887170155,0.6108097826086958,0.07615887451329606,101
Genus,2,cnn_avgpool,123,0.05823475887170155,0.7760996376811594,0.2894847980118521,101
Genus,2,cnn_avgpool,7,0.05823475887170155,0.6212179951690822,0.10757010095000905,101
Genus,2,cnn_avgpool,13,0.05823475887170155,0.7493677536231884,0.2623537276496014,101
Genus,2,cnn_avgpool,21,0.05823475887170155,0.7394359903381642,0.23625181143267046,101
Genus,3,cnn_avgpool,42,0.05818181818181818,0.5509148769305019,0.059627333613675754,101
Genus,3,cnn_avgpool,123,0.05818181818181818,0.7342911438223938,0.1333918336187213,101
Genus,3,cnn_avgpool,7,0.05818181818181818,0.5722221887065637,0.07214120558421665,101
Genus,3,cnn_avgpool,13,0.05818181818181818,0.708273708976834,0.14366181181921903,101
Genus,3,cnn_avgpool,21,0.05818181818181818,0.6952283421814671,0.14965667908583222,101
Genus,4,cnn_avgpool,42,0.058424425179042595,0.5374012112916139,0.05777877159630569,101
Genus,4,cnn_avgpool,123,0.058424425179042595,0.7340620883803818,0.18551742486802122,101
Genus,4,cnn_avgpool,7,0.058424425179042595,0.6007231591724992,0.08174422704370418,101
Genus,4,cnn_avgpool,13,0.058424425179042595,0.7210542627650507,0.22039690438553722,101
Genus,4,cnn_avgpool,21,0.058424425179042595,0.7182261938583125,0.23699828984655155,101
Genus,0,cnn_maxpool,42,0.058490221166148784,0.48599119103086774,0.051947040430663755,101
Genus,0,cnn_maxpool,123,0.058490221166148784,0.48569998543972037,0.05281986138905484,101
