rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Novelty,2,5495,320,0.05823475887170155,tiny_mlp,7,0.9999939613526568,0.9999047480528116,42
Novelty,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9999909420289855,0.9998553110284507,42
Novelty,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9999951690821256,0.9999225341696534,42
Novelty,3,5500,320,0.05818181818181818,tiny_mlp,42,0.9998449565637066,0.9975085194716896,42
Novelty,3,5500,320,0.05818181818181818,tiny_mlp,123,0.9997484314671814,0.9957335220358592,42
Novelty,3,5500,320,0.05818181818181818,tiny_mlp,7,0.9998811534749035,0.9980627915476372,42
Novelty,3,5500,320,0.05818181818181818,tiny_mlp,13,0.9973684845559846,0.9648167606361322,42
Novelty,3,5500,320,0.05818181818181818,tiny_mlp,21,0.9998570222007722,0.9976697083272391,42
Novelty,4,5306,310,0.058424425179042595,tiny_mlp,42,0.9995790180531522,0.99491809795618,42
Novelty,4,5306,310,0.058424425179042595,tiny_mlp,123,0.9994292207959917,0.99275102112748,42
Novelty,4,5306,310,0.058424425179042595,tiny_mlp,7,0.9997507683566209,0.996313273876872,42
Novelty,4,5306,310,0.058424425179042595,tiny_mlp,13,0.999595159998967,0.9951043271522204,42
Novelty,4,5306,310,0.058424425179042595,tiny_mlp,21,0.9997275239546476,0.9960460286537438,42
Noise,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9999842263638128,0.9997503467042606,42
Noise,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9998871578334304,0.9982539120117073,42
Noise,0,5471,320,0.058490221166148784,tiny_mlp,7,0.9999793729372938,0.9996739705500388,42
Noise,0,5471,320,0.058490221166148784,tiny_mlp,13,0.9994212288875947,0.9890672207836219,42
Noise,0,5471,320,0.058490221166148784,tiny_mlp,21,0.9999854397204426,0.9997688247608513,42
Noise,1,5476,320,0.05843681519357195,tiny_mlp,42,0.9995951318851823,0.9931164871675134,42
Noise,1,5476,320,0.05843681519357195,tiny_mlp,123,0.9994836113266097,0.9906152031088432,42
